titulo,id,p1,p2,foto1,captacao,edicao,legendas,textos,url,anterior,proximo
Profissionais em prototipagem física,CAg9xBlZj84,Mau Jabur (Mau Maker) e Lina Lopes (LILO.THINK) discutem os desafios e as novas possibilidades dos profissionais que trabalham com inovação na área de hardware e interatividade. Como os especialistas podem se recriar após a revolução do Arduino e ir além? ,Captado em 22/02/2019,zone/1,Alvorada Filmes,Alvorada Filmes,,Susan Moreno,talk1,talk2,talk2
Inovação pelo caminho do marketing,n0gasE23Auc,Mau Jabur (Mau Maker) e Lina Lopes (LILO.THINK) conversam sobre projetos de inovação vinculados a ações de marketing de empresas. Como o setor de inovação pode se inspirar nos métodos ágeis utilizados pelo setor de marketing? E onde entram os consultores nesse processo?,Captado em 22/02/2019,zone/2,Alvorada Filmes,Alvorada Filmes,,Susan Moreno,talk2,talk1,talk1
